Bad_Practices,Good_Practices
<div><h2>Content</div></h2>,<h2><div>Content</div></h2>
<td id='width:100px'>Text,<td id='width:100px'>Text</td>
<a href=description>List Item</a>,<a href='description'>List Item</a>
<p src='image.jpg'>Text,<p src='image.jpg'>Text</p>
<table href=container>Data</table>,<table href='container'>Data</table>
<h1 src='container'>Content,<h1 src='container'>Content</h1>
<div src='link.html'>Hello,<div src='link.html'>Hello</div>
<h1>Link,<h1>Link</h1>
<li style='link.html'>Title,<li style='link.html'>Title</li>
<p id='width:100px'>Content,<p id='width:100px'>Content</p>
<tr alt=description>Content</tr>,<tr alt='description'>Content</tr>
<li id='image.jpg'>Content,<li id='image.jpg'>Content</li>
<li style='description'>Title,<li style='description'>Title</li>
<span class='width:100px'>List Item,<span class='width:100px'>List Item</span>
<span style='image.jpg'>Link,<span style='image.jpg'>Link</span>
<tr><span>Text</tr></span>,<span><tr>Text</tr></span>
<h3><div>Content</h3></div>,<div><h3>Content</h3></div>
<img src='width:100px'>,<img src='width:100px' alt=''>
<div id='width:100px'>Hello,<div id='width:100px'>Hello</div>
<span style='image.jpg'>Hello,<span style='image.jpg'>Hello</span>
<p style='image.jpg'>List Item,<p style='image.jpg'>List Item</p>
<h3><table>Data</h3></table>,<table><h3>Data</h3></table>
<h2 src='image.jpg'>Text,<h2 src='image.jpg'>Text</h2>
<ul class=link.html>Text</ul>,<ul class='link.html'>Text</ul>
<p class='description'>Text,<p class='description'>Text</p>
<h2 href='container'>Text,<h2 href='container'>Text</h2>
<h3><a>Content</h3></a>,<a><h3>Content</h3></a>
<h2 id='width:100px'>List Item,<h2 id='width:100px'>List Item</h2>
<tr><h2>List Item</tr></h2>,<h2><tr>List Item</tr></h2>
<h2 src='container'>Title,<h2 src='container'>Title</h2>
<span style='header'>Hello,<span style='header'>Hello</span>
<h3><p>Text</h3></p>,<p><h3>Text</h3></p>
<a><ul>List Item</a></ul>,<ul><a>List Item</a></ul>
<h3 src='header'>Content,<h3 src='header'>Content</h3>
<ul alt='width:100px'>Content,<ul alt='width:100px'>Content</ul>
<li href=image.jpg>List Item</li>,<li href='image.jpg'>List Item</li>
<div href=container>Data</div>,<div href='container'>Data</div>
<a id='link.html'>Text,<a id='link.html'>Text</a>
<td alt='width:100px'>Data,<td alt='width:100px'>Data</td>
<a href='header'>Text,<a href='header'>Text</a>
<h3 href='container'>Text,<h3 href='container'>Text</h3>
<span src='image.jpg'>Data,<span src='image.jpg'>Data</span>
<h3 href='width:100px'>Text,<h3 href='width:100px'>Text</h3>
<div src='link.html'>Link,<div src='link.html'>Link</div>
<h1 href='link.html'>Title,<h1 href='link.html'>Title</h1>
<a href='width:100px'>Content,<a href='width:100px'>Content</a>
<p alt='link.html'>Data,<p alt='link.html'>Data</p>
<p class='header'>Title,<p class='header'>Title</p>
<img src='description'>,<img src='description' alt=''>
<td><div>Data</td></div>,<div><td>Data</td></div>
<h2 alt='link.html'>Data,<h2 alt='link.html'>Data</h2>
<h3>List Item,<h3>List Item</h3>
<ul class=container>Data</ul>,<ul class='container'>Data</ul>
